title,author,year,doi,abstract
Cybersecurity in {Big} {Data} {Era}: {From} {Securing} {Big} {Data} to {Data}-{Driven} {Security},"Rawat, Danda B. and Doku, Ronald and Garuba, Moses",2021,10.1109/TSC.2019.2907247,"‘‘Knowledge is power” is an old adage that has been found to be true in today’s information age. Knowledge is derived from having access to information. The ability to gather information from large volumes of data has become an issue of relative importance. Big Data Analytics (BDA) is the term coined by researchers to describe the art of processing, storing and gathering large amounts of data for future examination. Data is being produced at an alarming rate. The rapid growth of the Internet, Internet of Things (IoT) and other technological advances are the main culprits behind this sustained growth. The data generated is a reflection of the environment it is produced out of, thus we can use the data we get out of systems to figure out the inner workings of that system. This has become an important feature in cybersecurity where the goal is to protect assets. Furthermore, the growing value of data has made big data a high value target. In this paper, we explore recent research works in cybersecurity in relation to big data. We highlight how big data is protected and how big data can also be used as a tool for cybersecurity. We summarize recent works in the form of tables and have presented trends, open research challenges and problems. With this paper, readers can have a more thorough understanding of cybersecurity in the big data era, as well as research trends and open challenges in this active research area."
A {Fully} {Streaming} {Big} {Data} {Framework} for {Cyber} {Security} {Based} on {Optimized} {Deep} {Learning} {Algorithm},"Hussen, Noha and Elghamrawy, Sally M. and Salem, Mofreh and El-Desouky, Ali I.",2023,10.1109/ACCESS.2023.3281893,"Real-time deep learning faces the challenge of balancing accuracy and time, especially in cybersecurity where intrusion detection is crucial. Traditional deep learning techniques have been insufficient in identifying network anomalies and intrusions. To address this, a Fully Streaming Big Data Framework based on optimized Deep Learning for cybersecurity (FSBDL) was proposed. The framework leverages two parallel optimization algorithms, Adam and RMSprop, labeled Hyper-parallel optimization (HPO) techniques to enhance efficiency and stability. The optimized CNN in the proposed framework achieves high accuracy in real-time intrusion detection without compromising reliability. The CNN is customized to address overfitting issues in recurrent connections by reducing the number of training parameters, using customized activation functions and regularization techniques. The CNN is trained in parallel using Adam and RMSprop optimization algorithms, resulting in significant accuracy improvements that surpass traditional methods and current state-of-the-art approaches. The HPO is a crucial component of the proposed framework, as it enables the system to detect intrusions in real-time, ensuring prompt response to potential cyber threats. The six-layer FSBDL framework includes data pre-processing, feature selection, hyper-parallelism, a customized CNN, a GUI layer for interpretation, and a detection-evaluation layer. The optimized CNN was designed to detect intrusions in real-time without compromising accuracy or reliability. The proposed algorithms were evaluated using various performance metrics, showing that the accuracy of the framework surpasses 99.9\%, indicating its superiority over other intrusion detection models. This novel intrusion detection model offers promising prospects for cybersecurity, and its effectiveness and accuracy have been demonstrated through experimentation."
Intrusion {Detection} {Framework} for the {Internet} of {Things} {Using} a {Dense} {Random} {Neural} {Network},"Latif, Shahid and Huma, Zil e and Jamal, Sajjad Shaukat and Ahmed, Fawad and Ahmad, Jawad and Zahid, Adnan and Dashtipour, Kia and Aftab, Muhammad Umar and Ahmad, Muhammad and Abbasi, Qammer Hussain",2022,10.1109/TII.2021.3130248,"The Internet of Things (IoT) devices, networks, and applications have become an integral part of modern societies. Despite their social, economic, and industrial benefits, these devices and networks are frequently targeted by cybercriminals. Hence, IoT applications and networks demand lightweight, fast, and flexible security solutions to overcome these challenges. In this regard, artificial-intelligence-based solutions with Big Data analytics can produce promising results in the field of cybersecurity. This article proposes a lightweight dense random neural network (DnRaNN) for intrusion detection in the IoT. The proposed scheme is well suited for implementation in resource-constrained IoT networks due to its inherent improved generalization capabilities and distributed nature. The suggested model was evaluated by conducting extensive experiments on a new generation IoT security dataset ToN\_IoT. All the experiments were conducted under different hyperparameters and the efficiency of the proposed DnRaNN was evaluated through multiple performance metrics. The findings of the proposed study provide recommendations and insights in binary class and multiclass scenarios. The proposed DnRaNN model attained attack detection accuracy of 99.14\% and 99.05\% for binary class and multiclass classifications, respectively."
Autonomic {Intrusion} {Detection} and {Response} {Using} {Big} {Data},"Vieira, Kleber and Koch, Fernando L. and Sobral, João Bosco M. and Westphall, Carlos Becker and Leão, Jorge Lopes de Souza",2020,10.1109/JSYST.2019.2945555,"We present a method for autonomic intrusion detection and response to optimize processes of cybersecurity in large distributed systems. These environments are characterized by technology fragmentation and complex operations making them highly susceptible to attacks like hijacking, man-in-the-middle, denial-of-service, phishing, and others. The autonomic intrusion response system introduces models of operational analysis and reaction based on the combination of autonomic computing and big data. We implemented a proof-of-concept and executed experiments that demonstrate significant improvement in effectiveness and scalability of the method in complex environments."
A {Hybrid} {Intrusion} {Detection} {System} {Based} on {Feature} {Selection} and {Weighted} {Stacking} {Classifier},"Zhao, Ruizhe and Mu, Yingxue and Zou, Long and Wen, Xiumei",2022,10.1109/ACCESS.2022.3186975,"Cyber-attacks occur more frequently with the rapid growth in the Internet. Intrusion detection systems (IDS) have become an important part of protecting system security. There are still some challenges preventing IDS from further improving its classification performance. Firstly, the complexity of high-dimensional features challenges the speed and the performance of the classification for IDS. Secondly, the classification performance of traditional Stacking algorithm can be easily affected by the base classifiers. Tackling both challenges above, we propose a hybrid intrusion detection system based on a CFS-DE feature selection algorithm and a weighted Stacking classification algorithm. To limit the dimension of the features, we deployed the CFS-DE algorithm, which searches for the optimal feature subset. Afterwards, a weighted Stacking algorithm is proposed, which increases the weights of the base classifiers with good training results and drops those base classifiers with bad ones to improve the classification performance. As such, the model enhances the classification efficiency and yielding better accuracy. All experiments in this study were conducted on the NSL-KDD and CSE-CIC-IDS2018 data sets. The results based on KDDTest+ show that our proposed model has accuracy of 87.44\%, precision of 89.09\%, recall of 87.44\% and F1-score of 88.25\%. The results based on CSE-CIC-IDS2018 show that our proposed model has accuracy of 99.87\%, precision of 99.88\%, recall of 99.87\% and F1-score of 99.88\%. Compared with traditional machine learning models and models mentioned in other papers, out proposed CFS-DE-weighted-Stacking IDS has the best classification performance."
Computational {Intelligence} {Enabled} {Cybersecurity} for the {Internet} of {Things},"Zhao, Shanshan and Li, Shancang and Qi, Lianyong and Xu, Li Da",2020,10.1109/TETCI.2019.2941757,"The computational intelligence (CI) based technologies play key roles in campaigning cybersecurity challenges in complex systems such as the Internet of Things (IoT), cyber-physical-systems (CPS), etc. The current IoT is facing increasingly security issues, such as vulnerabilities of IoT systems, malware detection, data security concerns, personal and public physical safety risk, privacy issues, data storage management following the exponential growth of IoT devices. This work aims at investigating the applicability of computational intelligence techniques in cybersecurity for IoT, including CI-enabled cybersecurity and privacy solutions, cyber defense technologies, intrusion detection techniques, and data security in IoT. This paper also attempts to provide new research directions and trends for the increasingly IoT security issues using computational intelligence technologies."
Few-{Shot} {Class}-{Incremental} {Learning} for {Network} {Intrusion} {Detection} {Systems},"Di Monda, Davide and Montieri, Antonio and Persico, Valerio and Voria, Pasquale and De Ieso, Matteo and Pescapè, Antonio",2024,10.1109/OJCOMS.2024.3481895,"In today’s digital landscape, critical services are increasingly dependent on network connectivity, thus cybersecurity has become paramount. Indeed, the constant escalation of cyberattacks, including zero-day exploits, poses a significant threat. While Network Intrusion Detection Systems (NIDSs) leveraging machine-learning and deep-learning models have proven effective in recent studies, they encounter limitations such as the need for abundant samples of malicious traffic and full retraining upon encountering new attacks. These limitations hinder their adaptability in real-world scenarios. To address these challenges, we design a novel NIDS capable of promptly adapting to classify new attacks and provide timely predictions. Our proposal for attack-traffic classification adopts Few-Shot Class-Incremental Learning (FSCIL) and is based on the Rethinking Few-Shot (RFS) approach, which we experimentally prove to overcome other FSCIL state-of-the-art alternatives based on either meta-learning or transfer learning. We evaluate the proposed NIDS across a wide array of cyberattacks whose traffic is collected in recent publicly available datasets to demonstrate its robustness across diverse network-attack scenarios, including malicious activities in an Internet-of-Things context and cyberattacks targeting servers. We validate various design choices as well, involving the number of traffic samples per attack available, the impact of the features used to represent the traffic objects, and the time to deliver the classification verdict. Experimental results witness that our proposed NIDS effectively retains previously acquired knowledge (with over 94\% F1-score) while adapting to new attacks with only few samples available (with over 98\% F1-score). Thus, it outperforms non-FSCIL state of the art in terms of classification effectiveness and adaptation time. Moreover, our NIDS exhibits high performance even with traffic collected within short time frames, achieving 95\% F1-score while reducing the time-to-insight. Finally, we identify possible limitations likely arising in specific application contexts and envision promising research avenues to mitigate them."
{CHEAT}: {A} {Large}-{Scale} {Dataset} for {Detecting} {CHatGPT}-{writtEn} {AbsTracts},"Yu, Peipeng and Chen, Jiahan and Feng, Xuan and Xia, Zhihua",2025,10.1109/TBDATA.2025.3536929,"The powerful ability of ChatGPT has caused widespread concern in the academic community. Malicious users could synthesize dummy academic content through ChatGPT, which is extremely harmful to academic rigor and originality. The need to develop ChatGPT-written content detection algorithms calls for large-scale datasets. In this paper, we initially investigate the possible negative impact of ChatGPT on academia, and present a large-scale CHatGPT-writtEn AbsTract dataset (CHEAT) to support the development of detection algorithms. In particular, the ChatGPT-written abstract dataset contains 35,304 synthetic abstracts, with GenerationGeneration, PolishPolish, and FusionFusion as prominent representatives. Based on these data, we perform a thorough analysis of the existing text synthesis detection algorithms. We show that ChatGPT-written abstracts are detectable with well-trained detectors, while the detection difficulty increases with more human guidance involved."
Smart sustainable cyber security: modelling an interpretable and transparent threat detection with explainable artificial intelligence,"Almheiri, Saif Jasim and Shah, Asghar Ali and Abbas, Sagheer and Ahmad, Munir and Khan, Muhammad Adnan",2025,10.1007/s43621-025-01280-z,"Cyber threats have become a global concern, and attackers use more efficient, hidden, and destructive techniques. Traditional signature- and rule-based systems struggle to encounter these latest threats, exposing organizations facing severe risks to their financial well-being and national security risks. Although Artificial Intelligence (AI) provides techniques for detecting threats in real-time, its black-box nature introduces challenges related to trust, regulatory compliance, and interpretability, particularly in high-risk environments where decision transparency is critical. The black-box nature of AI systems in critical situations demands complete transparency and ease of interpretation for people to trust automated threat detection methods. In this research, the proposed Smart Sustainable Cybersecurity (SSC) model incorporates XAI to improve interpretability and assist in validating and improving threat classification models to reduce the number of false positives and make them more resistant to adversarial attacks. The proposed SSC-based XAI model had a high accuracy level of 99.65\% and a low miss-rate of 0.35\% compared to other approaches while offering greater transparency that may support resilience against adversarial behavior. While these results are promising, they are based on a controlled benchmark dataset and require further validation across diverse, real-world environments. This improves the detection of cyber threats and enhances the ability for intelligent, adaptive, and anticipative cyber defenses by minimizing false positives while advancing interpretability."
"A comprehensive bibliometric analysis of {Big} {Data} and {Cyber} {Security}: intellectual structure, trends, and global collaborations","Koca, Murat and Çiftçi, Sabahattin",2025,10.1007/s10115-025-02531-1,"The rapid growth of the big data ecosystem and the increasing complexity of cyber threats need a thorough examination of research at the intersection of these two domains. This study conducts a multidimensional bibliometric analysis within the framework of the keywords “Big Data” and “Cybersecurity” based on 3354 publications published in the Web of Science Core Collection database between 1975 and 2025. Structures such as document kinds, trends in publication and citation, most influential studies, clusters of keywords, collaboration networks, country and institution contributions, and discipline distribution were all thoroughly examined as part of the investigation. The results indicate that conference proceedings constitute the predominant document type, with China and the USA leading in publication and impact. Authors like Kim-Kwang Raymond Choo exhibit significant influence, and collaboration networks are predominantly clustered in Asia and North America. In addition, conceptual clusters obtained from abstracts define the Big Data–Cybersecurity relationship in terms of data privacy, intrusion detection, and IoT integration. This study both makes structural gaps in the literature visible and provides guiding insights for researchers, practitioners, and policymakers."
