"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2IUQBXYH","journalArticle","2021","Rawat, Danda B.; Doku, Ronald; Garuba, Moses","Cybersecurity in Big Data Era: From Securing Big Data to Data-Driven Security","IEEE Transactions on Services Computing","","1939-1374","10.1109/TSC.2019.2907247","https://ieeexplore.ieee.org/document/8673585/","‘‘Knowledge is power” is an old adage that has been found to be true in today’s information age. Knowledge is derived from having access to information. The ability to gather information from large volumes of data has become an issue of relative importance. Big Data Analytics (BDA) is the term coined by researchers to describe the art of processing, storing and gathering large amounts of data for future examination. Data is being produced at an alarming rate. The rapid growth of the Internet, Internet of Things (IoT) and other technological advances are the main culprits behind this sustained growth. The data generated is a reflection of the environment it is produced out of, thus we can use the data we get out of systems to figure out the inner workings of that system. This has become an important feature in cybersecurity where the goal is to protect assets. Furthermore, the growing value of data has made big data a high value target. In this paper, we explore recent research works in cybersecurity in relation to big data. We highlight how big data is protected and how big data can also be used as a tool for cybersecurity. We summarize recent works in the form of tables and have presented trends, open research challenges and problems. With this paper, readers can have a more thorough understanding of cybersecurity in the big data era, as well as research trends and open challenges in this active research area.","2021-11","2025-09-17 06:02:34","2025-09-17 06:02:34","2025-09-17 06:02:34","2055-2072","","6","14","","","Cybersecurity in Big Data Era","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\7U4E3VCN\Rawat et al. - 2021 - Cybersecurity in Big Data Era From Securing Big Data to Data-Driven Security.pdf","","","Computer security; Big Data; big data driven security; Big data security; Botnet; Data analysis; data analytics; IDS/IPS; Market research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIDHBF7F","journalArticle","2023","Hussen, Noha; Elghamrawy, Sally M.; Salem, Mofreh; El-Desouky, Ali I.","A Fully Streaming Big Data Framework for Cyber Security Based on Optimized Deep Learning Algorithm","IEEE Access","","2169-3536","10.1109/ACCESS.2023.3281893","https://ieeexplore.ieee.org/document/10141602/","Real-time deep learning faces the challenge of balancing accuracy and time, especially in cybersecurity where intrusion detection is crucial. Traditional deep learning techniques have been insufficient in identifying network anomalies and intrusions. To address this, a Fully Streaming Big Data Framework based on optimized Deep Learning for cybersecurity (FSBDL) was proposed. The framework leverages two parallel optimization algorithms, Adam and RMSprop, labeled Hyper-parallel optimization (HPO) techniques to enhance efficiency and stability. The optimized CNN in the proposed framework achieves high accuracy in real-time intrusion detection without compromising reliability. The CNN is customized to address overfitting issues in recurrent connections by reducing the number of training parameters, using customized activation functions and regularization techniques. The CNN is trained in parallel using Adam and RMSprop optimization algorithms, resulting in significant accuracy improvements that surpass traditional methods and current state-of-the-art approaches. The HPO is a crucial component of the proposed framework, as it enables the system to detect intrusions in real-time, ensuring prompt response to potential cyber threats. The six-layer FSBDL framework includes data pre-processing, feature selection, hyper-parallelism, a customized CNN, a GUI layer for interpretation, and a detection-evaluation layer. The optimized CNN was designed to detect intrusions in real-time without compromising accuracy or reliability. The proposed algorithms were evaluated using various performance metrics, showing that the accuracy of the framework surpasses 99.9%, indicating its superiority over other intrusion detection models. This novel intrusion detection model offers promising prospects for cybersecurity, and its effectiveness and accuracy have been demonstrated through experimentation.","2023","2025-09-17 06:05:25","2025-09-17 06:05:25","2025-09-17 06:05:25","65675-65688","","","11","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\X42TC7BJ\Hussen et al. - 2023 - A Fully Streaming Big Data Framework for Cyber Security Based on Optimized Deep Learning Algorithm.pdf","","","Computer security; Real-time systems; Intrusion detection; Optimization; Feature extraction; conventional neural network (CNN); Cyber security; Data models; deep learning; Deep learning; intrusion detection; Neural networks; optimization; streaming data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NVYT3G5","journalArticle","2022","Latif, Shahid; Huma, Zil e; Jamal, Sajjad Shaukat; Ahmed, Fawad; Ahmad, Jawad; Zahid, Adnan; Dashtipour, Kia; Aftab, Muhammad Umar; Ahmad, Muhammad; Abbasi, Qammer Hussain","Intrusion Detection Framework for the Internet of Things Using a Dense Random Neural Network","IEEE Transactions on Industrial Informatics","","1941-0050","10.1109/TII.2021.3130248","https://ieeexplore.ieee.org/document/9626591/","The Internet of Things (IoT) devices, networks, and applications have become an integral part of modern societies. Despite their social, economic, and industrial benefits, these devices and networks are frequently targeted by cybercriminals. Hence, IoT applications and networks demand lightweight, fast, and flexible security solutions to overcome these challenges. In this regard, artificial-intelligence-based solutions with Big Data analytics can produce promising results in the field of cybersecurity. This article proposes a lightweight dense random neural network (DnRaNN) for intrusion detection in the IoT. The proposed scheme is well suited for implementation in resource-constrained IoT networks due to its inherent improved generalization capabilities and distributed nature. The suggested model was evaluated by conducting extensive experiments on a new generation IoT security dataset ToN_IoT. All the experiments were conducted under different hyperparameters and the efficiency of the proposed DnRaNN was evaluated through multiple performance metrics. The findings of the proposed study provide recommendations and insights in binary class and multiclass scenarios. The proposed DnRaNN model attained attack detection accuracy of 99.14% and 99.05% for binary class and multiclass classifications, respectively.","2022-09","2025-09-17 06:05:37","2025-09-17 06:05:37","2025-09-17 06:05:37","6435-6444","","9","18","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\MS95MN52\Latif et al. - 2022 - Intrusion Detection Framework for the Internet of Things Using a Dense Random Neural Network.pdf","","","Cybersecurity; Intrusion detection; deep learning; intrusion detection; Denial-of-service attack; dense random neural network (DnRaNN); Industries; Internet of Things; Internet of Things (IoT); Mathematical models; Neurons; Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WX4ZBA8A","journalArticle","2020","Vieira, Kleber; Koch, Fernando L.; Sobral, João Bosco M.; Westphall, Carlos Becker; Leão, Jorge Lopes de Souza","Autonomic Intrusion Detection and Response Using Big Data","IEEE Systems Journal","","1937-9234","10.1109/JSYST.2019.2945555","https://ieeexplore.ieee.org/document/8883046/","We present a method for autonomic intrusion detection and response to optimize processes of cybersecurity in large distributed systems. These environments are characterized by technology fragmentation and complex operations making them highly susceptible to attacks like hijacking, man-in-the-middle, denial-of-service, phishing, and others. The autonomic intrusion response system introduces models of operational analysis and reaction based on the combination of autonomic computing and big data. We implemented a proof-of-concept and executed experiments that demonstrate significant improvement in effectiveness and scalability of the method in complex environments.","2020-06","2025-09-17 06:05:44","2025-09-17 06:05:44","2025-09-17 06:05:44","1984-1991","","2","14","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\82LXGHKK\Vieira et al. - 2020 - Autonomic Intrusion Detection and Response Using Big Data.pdf","","","Big Data; cybersecurity; Intrusion detection; big data; Autonomic computing; distributed computing; intrusion detection systems; Knowledge based systems; Monitoring; Phishing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQZCUX8E","journalArticle","2022","Zhao, Ruizhe; Mu, Yingxue; Zou, Long; Wen, Xiumei","A Hybrid Intrusion Detection System Based on Feature Selection and Weighted Stacking Classifier","IEEE Access","","2169-3536","10.1109/ACCESS.2022.3186975","https://ieeexplore.ieee.org/document/9810274/","Cyber-attacks occur more frequently with the rapid growth in the Internet. Intrusion detection systems (IDS) have become an important part of protecting system security. There are still some challenges preventing IDS from further improving its classification performance. Firstly, the complexity of high-dimensional features challenges the speed and the performance of the classification for IDS. Secondly, the classification performance of traditional Stacking algorithm can be easily affected by the base classifiers. Tackling both challenges above, we propose a hybrid intrusion detection system based on a CFS-DE feature selection algorithm and a weighted Stacking classification algorithm. To limit the dimension of the features, we deployed the CFS-DE algorithm, which searches for the optimal feature subset. Afterwards, a weighted Stacking algorithm is proposed, which increases the weights of the base classifiers with good training results and drops those base classifiers with bad ones to improve the classification performance. As such, the model enhances the classification efficiency and yielding better accuracy. All experiments in this study were conducted on the NSL-KDD and CSE-CIC-IDS2018 data sets. The results based on KDDTest+ show that our proposed model has accuracy of 87.44%, precision of 89.09%, recall of 87.44% and F1-score of 88.25%. The results based on CSE-CIC-IDS2018 show that our proposed model has accuracy of 99.87%, precision of 99.88%, recall of 99.87% and F1-score of 99.88%. Compared with traditional machine learning models and models mentioned in other papers, out proposed CFS-DE-weighted-Stacking IDS has the best classification performance.","2022","2025-09-17 06:10:20","2025-09-17 06:10:20","2025-09-17 06:10:20","71414-71426","","","10","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\6EVY4BC6\Zhao et al. - 2022 - A Hybrid Intrusion Detection System Based on Feature Selection and Weighted Stacking Classifier.pdf","","","Intrusion detection; Feature extraction; Approximation algorithms; CFS-DE; Classification algorithms; Correlation; cyber security; feature selection; Intrusion detection system; Sociology; Stacking; weighted Stacking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDHZEQS5","journalArticle","2020","Zhao, Shanshan; Li, Shancang; Qi, Lianyong; Xu, Li Da","Computational Intelligence Enabled Cybersecurity for the Internet of Things","IEEE Transactions on Emerging Topics in Computational Intelligence","","2471-285X","10.1109/TETCI.2019.2941757","https://ieeexplore.ieee.org/document/9122023/","The computational intelligence (CI) based technologies play key roles in campaigning cybersecurity challenges in complex systems such as the Internet of Things (IoT), cyber-physical-systems (CPS), etc. The current IoT is facing increasingly security issues, such as vulnerabilities of IoT systems, malware detection, data security concerns, personal and public physical safety risk, privacy issues, data storage management following the exponential growth of IoT devices. This work aims at investigating the applicability of computational intelligence techniques in cybersecurity for IoT, including CI-enabled cybersecurity and privacy solutions, cyber defense technologies, intrusion detection techniques, and data security in IoT. This paper also attempts to provide new research directions and trends for the increasingly IoT security issues using computational intelligence technologies.","2020-10","2025-09-17 06:10:30","2025-09-17 06:10:30","2025-09-17 06:10:30","666-674","","5","4","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\2W3L2L58\Zhao et al. - 2020 - Computational Intelligence Enabled Cybersecurity for the Internet of Things.pdf","","","Computer security; Cybersecurity; Intrusion detection; Internet of Things; Internet of Things (IoT); Computational intelligence; Computational Intelligence; Digital Forensics; Malware; Tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL42M5S9","journalArticle","2024","Di Monda, Davide; Montieri, Antonio; Persico, Valerio; Voria, Pasquale; De Ieso, Matteo; Pescapè, Antonio","Few-Shot Class-Incremental Learning for Network Intrusion Detection Systems","IEEE Open Journal of the Communications Society","","2644-125X","10.1109/OJCOMS.2024.3481895","https://ieeexplore.ieee.org/document/10720176/","In today’s digital landscape, critical services are increasingly dependent on network connectivity, thus cybersecurity has become paramount. Indeed, the constant escalation of cyberattacks, including zero-day exploits, poses a significant threat. While Network Intrusion Detection Systems (NIDSs) leveraging machine-learning and deep-learning models have proven effective in recent studies, they encounter limitations such as the need for abundant samples of malicious traffic and full retraining upon encountering new attacks. These limitations hinder their adaptability in real-world scenarios. To address these challenges, we design a novel NIDS capable of promptly adapting to classify new attacks and provide timely predictions. Our proposal for attack-traffic classification adopts Few-Shot Class-Incremental Learning (FSCIL) and is based on the Rethinking Few-Shot (RFS) approach, which we experimentally prove to overcome other FSCIL state-of-the-art alternatives based on either meta-learning or transfer learning. We evaluate the proposed NIDS across a wide array of cyberattacks whose traffic is collected in recent publicly available datasets to demonstrate its robustness across diverse network-attack scenarios, including malicious activities in an Internet-of-Things context and cyberattacks targeting servers. We validate various design choices as well, involving the number of traffic samples per attack available, the impact of the features used to represent the traffic objects, and the time to deliver the classification verdict. Experimental results witness that our proposed NIDS effectively retains previously acquired knowledge (with over 94% F1-score) while adapting to new attacks with only few samples available (with over 98% F1-score). Thus, it outperforms non-FSCIL state of the art in terms of classification effectiveness and adaptation time. Moreover, our NIDS exhibits high performance even with traffic collected within short time frames, achieving 95% F1-score while reducing the time-to-insight. Finally, we identify possible limitations likely arising in specific application contexts and envision promising research avenues to mitigate them.","2024","2025-09-17 06:10:46","2025-09-17 06:10:46","2025-09-17 06:10:46","6736-6757","","","5","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\UMGD5WZR\Di Monda et al. - 2024 - Few-Shot Class-Incremental Learning for Network Intrusion Detection Systems.pdf","","","Telecommunication traffic; Network intrusion detection; network security; Transfer learning; deep learning; Denial-of-service attack; Attack-traffic classification; Computer crime; few-shot class-incremental learning; Metalearning; network intrusion detection system; Power capacitors; Traffic control; Training; Vectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GL38DU6L","journalArticle","2025","Yu, Peipeng; Chen, Jiahan; Feng, Xuan; Xia, Zhihua","CHEAT: A Large-Scale Dataset for Detecting CHatGPT-writtEn AbsTracts","IEEE Transactions on Big Data","","2332-7790","10.1109/TBDATA.2025.3536929","https://ieeexplore.ieee.org/document/10858415/","The powerful ability of ChatGPT has caused widespread concern in the academic community. Malicious users could synthesize dummy academic content through ChatGPT, which is extremely harmful to academic rigor and originality. The need to develop ChatGPT-written content detection algorithms calls for large-scale datasets. In this paper, we initially investigate the possible negative impact of ChatGPT on academia, and present a large-scale CHatGPT-writtEn AbsTract dataset (CHEAT) to support the development of detection algorithms. In particular, the ChatGPT-written abstract dataset contains 35,304 synthetic abstracts, with GenerationGeneration, PolishPolish, and FusionFusion as prominent representatives. Based on these data, we perform a thorough analysis of the existing text synthesis detection algorithms. We show that ChatGPT-written abstracts are detectable with well-trained detectors, while the detection difficulty increases with more human guidance involved.","2025-06","2025-09-17 06:10:58","2025-09-17 06:10:58","2025-09-17 06:10:58","898-906","","3","11","","","CHEAT","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\UFBINV6G\Yu et al. - 2025 - CHEAT A Large-Scale Dataset for Detecting CHatGPT-writtEn AbsTracts.pdf","","","Big Data; Feature extraction; Deep learning; Accuracy; Chatbots; ChatGPT; Detection algorithms; Detectors; Oral communication; Reinforcement learning; Social networking (online); synthetic abstracts; text synthesis detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLUMN3FH","journalArticle","2025","Singh, Shashank Sheshar; Singh, Shashank; Singh, Kuldeep; Srivastava, Vishal; Shakya, Harish Kumar","Big Data Meets Social Networks: A Survey of Analytical Strategies and Research Challenges","IEEE Access","","2169-3536","10.1109/ACCESS.2025.3576143","https://ieeexplore.ieee.org/document/11021641/","As the big data era transforms the information analysis landscape, social network (SN) analytics has emerged as a critical discipline to understand complex relationships and interactions within enormous social systems. This study aims to provide a comprehensive overview of SN analytics as big data, providing an in-depth exploration of concepts, methods, and applications within this rapidly evolving field. The survey covers a wide range of topics, including methods for pre-processing and cleaning social network data, as well as more advanced analytical approaches such as opinion mining, sentiment analysis, text mining, and natural language processing. It also discusses various big data architectures for SN analytics, like Lambda architecture, Kappa architecture, and GraphX architecture. In addition, it covers issues of scalability, data quality, privacy, and real-time analysis. SN analytics can be useful for researchers from across domains like business and marketing, healthcare and biomedicine, social sciences and psychology, politics and governance, cybersecurity and fraud detection, recommendation systems, crisis management, and disaster response to extract crucial information from vast datasets and formulate domain-specific strategies.","2025","2025-09-17 06:43:29","2025-09-17 06:43:29","2025-09-17 06:43:29","98668-98698","","","13","","","Big Data Meets Social Networks","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\AWEHZAB4\Singh et al. - 2025 - Big Data Meets Social Networks A Survey of Analytical Strategies and Research Challenges.pdf","","","Big Data; Scalability; big data; Social networking (online); community detection; Computer architecture; Electronic mail; influence maximization; link prediction; NLP; sentiment analysis; Sentiment analysis; Social network analytics; social networks; Soft sensors; Surveys; Systematic literature review; Text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZM3LSNS","journalArticle","2025","Sagu, Amit; Gill, Nasib Singh; Gulia, Preeti; Priyadarshini, Ishaani; Chatterjee, Jyotir Moy","Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical Systems","IEEE Transactions on Big Data","","2332-7790","10.1109/TBDATA.2024.3372368","https://ieeexplore.ieee.org/document/10457946/","The Internet of Things (IoT) is being prominently used in smart cities and a wide range of applications in society. The benefits of IoT are evident, but cyber terrorism and security concerns inhibit many organizations and users from deploying it. Cyber-physical systems that are IoT-enabled might be difficult to secure since security solutions designed for general information/operational technology systems may not work as well in an environment. Thus, deep learning (DL) can assist as a powerful tool for building IoT-enabled cyber-physical systems with automatic anomaly detection. In this paper, two distinct DL models have been employed i.e., Deep Belief Network (DBN) and Convolutional Neural Network (CNN), considered hybrid classifiers, to create a framework for detecting attacks in IoT-enabled cyber-physical systems. However, DL models need to be trained in such a way that will increase their classification accuracy. Therefore, this paper also aims to present a new hybrid optimization algorithm called “Seagull Adapted Elephant Herding Optimization” (SAEHO) to tune the weights of the hybrid classifier. The “Hybrid Classifier + SAEHO” framework takes the feature extracted dataset as an input and classifies the network as either attack or benign. Using sensitivity, precision, accuracy, and specificity, two datasets were compared. In every performance metric, the proposed framework outperforms conventional methods.","2025-02","2025-09-17 06:43:34","2025-09-17 06:43:34","2025-09-17 06:43:34","35-46","","1","11","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\Ismenia Guevara\Zotero\storage\5RJQPLZP\Sagu et al. - 2025 - Hybrid Optimization Algorithm for Detection of Security Attacks in IoT-Enabled Cyber-Physical System.pdf","","","Support vector machines; Feature extraction; Deep learning; Internet of Things; Security; Convolutional neural networks; cyber-physical infrastructure; Cyber-physical systems; cyber-security; cyberattacks; IoT enabled cyber-physical systems; Metaheuristics; optimization technique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
