"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"742RH7RU","journalArticle","2025","Almheiri, Saif Jasim; Shah, Asghar Ali; Abbas, Sagheer; Ahmad, Munir; Khan, Muhammad Adnan","Smart sustainable cyber security: modelling an interpretable and transparent threat detection with explainable artificial intelligence","Discover Sustainability","","2662-9984","10.1007/s43621-025-01280-z","https://link-springer-com.crai.referencistas.com/article/10.1007/s43621-025-01280-z","Cyber threats have become a global concern, and attackers use more efficient, hidden, and destructive techniques. Traditional signature- and rule-based systems struggle to encounter these latest threats, exposing organizations facing severe risks to their financial well-being and national security risks. Although Artificial Intelligence (AI) provides techniques for detecting threats in real-time, its black-box nature introduces challenges related to trust, regulatory compliance, and interpretability, particularly in high-risk environments where decision transparency is critical. The black-box nature of AI systems in critical situations demands complete transparency and ease of interpretation for people to trust automated threat detection methods. In this research, the proposed Smart Sustainable Cybersecurity (SSC) model incorporates XAI to improve interpretability and assist in validating and improving threat classification models to reduce the number of false positives and make them more resistant to adversarial attacks. The proposed SSC-based XAI model had a high accuracy level of 99.65% and a low miss-rate of 0.35% compared to other approaches while offering greater transparency that may support resilience against adversarial behavior. While these results are promising, they are based on a controlled benchmark dataset and require further validation across diverse, real-world environments. This improves the detection of cyber threats and enhances the ability for intelligent, adaptive, and anticipative cyber defenses by minimizing false positives while advancing interpretability.","2025-12-01","2025-09-17 06:14:14","2025-09-17 06:14:14","2025-09-17 06:14:14","1-20","","1","6","","Discov Sustain","Smart sustainable cyber security","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer International Publishing","","C:\Users\Ismenia Guevara\Zotero\storage\M3TZ8I64\Almheiri et al. - 2025 - Smart sustainable cyber security modelling an interpretable and transparent threat detection with e.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RWZNH7V","journalArticle","2025","Koca, Murat; Çiftçi, Sabahattin","A comprehensive bibliometric analysis of Big Data and Cyber Security: intellectual structure, trends, and global collaborations","Knowledge and Information Systems","","0219-3116","10.1007/s10115-025-02531-1","https://link-springer-com.crai.referencistas.com/article/10.1007/s10115-025-02531-1","The rapid growth of the big data ecosystem and the increasing complexity of cyber threats need a thorough examination of research at the intersection of these two domains. This study conducts a multidimensional bibliometric analysis within the framework of the keywords “Big Data” and “Cybersecurity” based on 3354 publications published in the Web of Science Core Collection database between 1975 and 2025. Structures such as document kinds, trends in publication and citation, most influential studies, clusters of keywords, collaboration networks, country and institution contributions, and discipline distribution were all thoroughly examined as part of the investigation. The results indicate that conference proceedings constitute the predominant document type, with China and the USA leading in publication and impact. Authors like Kim-Kwang Raymond Choo exhibit significant influence, and collaboration networks are predominantly clustered in Asia and North America. In addition, conceptual clusters obtained from abstracts define the Big Data–Cybersecurity relationship in terms of data privacy, intrusion detection, and IoT integration. This study both makes structural gaps in the literature visible and provides guiding insights for researchers, practitioners, and policymakers.","2025-07-05","2025-09-17 06:17:12","2025-09-17 06:17:12","2025-09-17 06:17:12","1-26","","","","","Knowl Inf Syst","A comprehensive bibliometric analysis of Big Data and Cyber Security","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer London","","C:\Users\Ismenia Guevara\Zotero\storage\9Y9E9WC4\Koca y Çiftçi - 2025 - A comprehensive bibliometric analysis of Big Data and Cyber Security intellectual structure, trends.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEJ7PPRV","journalArticle","2025","Uddin, Mueen; Irshad, Muhammad Saad; Kandhro, Irfan Ali; Alanazi, Fuhid; Ahmed, Fahad; Maaz, Muhammad; Hussain, Saddam; Ullah, Syed Sajid","Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations","Artificial Intelligence Review","","1573-7462","10.1007/s10462-025-11219-5","https://link-springer-com.crai.referencistas.com/article/10.1007/s10462-025-11219-5","Cyber threats are increasingly frequent in today’s world, posing challenges for organizations and individuals to protect their data from cybercriminals. On the other hand, Generative Artificial Intelligence (GAI) technology offers an efficient way to automatically address these issues with the help of AI models and algorithms. It can work on more critical security aspects where human intervention is required and handle everyday threat situations autonomously. This research paper explores GAI in enhancing cybersecurity by leveraging AI Models and algorithms. GAI can autonomously address common security issues, detect novel threats, and augment human intervention in critical security aspects. Moreover, this research study also highlights autonomous security enhancements, improved security posture against emerging threats, anomaly detection, and threat response. Besides this, we have discussed the GAI limitations, such as occasional incorrect results, expensive training, and the potential for misuse by malicious actors for illegal activities. This research study also provides valuable insights into the balanced adoption of GAI in cybersecurity, ensuring effective threat migration without compromising system integrity.","2025-08-01","2025-09-17 06:18:20","2025-09-17 06:18:20","2025-09-17 06:18:20","1-39","","8","58","","Artif Intell Rev","Generative AI revolution in cybersecurity","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer Netherlands","","C:\Users\Ismenia Guevara\Zotero\storage\6KZE9WDV\Uddin et al. - 2025 - Generative AI revolution in cybersecurity a comprehensive review of threat intelligence and operati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLIVKKNX","journalArticle","2025","Mohamed, Nachaat","Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms","Knowledge and Information Systems","","0219-3116","10.1007/s10115-025-02429-y","https://link-springer-com.crai.referencistas.com/article/10.1007/s10115-025-02429-y","The integration of artificial intelligence (AI) and machine learning (ML) into cybersecurity has driven a transformational shift, significantly enhancing the ability to detect, respond to, and mitigate complex cyber threats. Traditional defense mechanisms are increasingly inadequate against sophisticated attacks, necessitating the adoption of AI-driven security solutions. This review paper presents a novel, in-depth analysis of state-of-the-art AI and ML techniques applied to intrusion detection, malware classification, behavioral analysis, and threat intelligence. Unlike existing studies, this work not only synthesizes current advancements but also identifies key limitations and emerging research gaps in AI-powered cybersecurity. A key novelty of this paper lies in its comprehensive evaluation of adversarial defense mechanisms, addressing how AI models can be hardened against adversarial attacks and data manipulation techniques. Additionally, we explore the growing role of federated learning in collaborative threat intelligence, offering privacy-preserving security models that enhance real-time cyber defense across decentralized networks. Another major contribution is our discussion on the integration of AI with quantum computing for cryptographic resilience, as well as its convergence with IoT security, shaping the next generation of adaptive cybersecurity frameworks. Furthermore, this paper proposes a forward-looking roadmap for sustainable AI-driven cybersecurity, emphasizing the need for adaptive adversarial defense systems, federated learning for global threat mitigation, and AI-enhanced cyber resilience frameworks. By bridging the gap between current AI-driven security solutions and future paradigms, this work serves as a valuable resource for researchers, cybersecurity professionals, and policymakers aiming to develop intelligent, scalable, and resilient cybersecurity architectures. While AI and ML are reshaping modern cybersecurity, their effectiveness hinges on continuous innovation, adversarial robustness, and interdisciplinary collaboration to combat an ever-evolving threat landscape.","2025-08-01","2025-09-17 06:18:29","2025-09-17 06:18:29","2025-09-17 06:18:29","6969-7055","","8","67","","Knowl Inf Syst","Artificial intelligence and machine learning in cybersecurity","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer London","","C:\Users\Ismenia Guevara\Zotero\storage\A7CIAAZH\Mohamed - 2025 - Artificial intelligence and machine learning in cybersecurity a deep dive into state-of-the-art tec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8Z6DA9G","journalArticle","2025","Alruwaili, Fahad F.","Leveraging blockchain for cybersecurity detection using hybridization of prairie dog optimization with differential evolution on internet of things environment","Scientific Reports","","2045-2322","10.1038/s41598-025-10410-6","https://link-springer-com.crai.referencistas.com/article/10.1038/s41598-025-10410-6","The Internet of Things (IoT) is emerging as a functional occurrence in developing numerous critical applications. These applications rely on centralized storage, raising concerns about confidentiality, security, and single points of failure. Conventional IoT security methods are inadequate to address the growing nature of attacks and threats. Blockchain technology has been employed by many investigators in intrusion detection systems for enhanced detection and monitoring, inhibition of mischievous attacks or activities, and tamper-proof dealings and storage in IoT networks and devices. At present, using artificial intelligence knowledge, mainly deep learning and machine learning approaches, endures the basics to deliver a dynamically improved and up-to-date security method for next-generation IoT systems. This study proposes a Leveraging Blockchain for Cybersecurity Detection Using Golden Jackal Optimization (LBCCD-GJO) method in IoT. The presented LBCCD-GJO method initially applies data pre-processing using min–max normalization to convert input data into a beneficial format. Moreover, the feature selection process is implemented by utilizing the golden jackal optimization (GJO) model. Furthermore, the proposed LBCCD-GJO model employs the gated recurrent unit (GRU) technique for the classification process of cyberattacks. Finally, the hyperparameter selection of the GRU technique is performed by implementing the hybrid of prairie dog optimization with a differential evolution (PDO-DE) technique. An extensive set of simulations was performed to exhibit the promising outcomes of the LBCCD-GJO methodology under the TON_IoT_Train_Test_Network dataset. The experimental validation of the LBCCD-GJO methodology is 99.67% compared to the previous techniques.","2025-08-28","2025-09-17 06:18:45","2025-09-17 06:18:45","2025-09-17 06:18:45","1-19","","1","15","","Sci Rep","","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Publisher: Nature Publishing Group","","C:\Users\Ismenia Guevara\Zotero\storage\SSVNNLXK\Alruwaili - 2025 - Leveraging blockchain for cybersecurity detection using hybridization of prairie dog optimization wi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7VNE9HX","journalArticle","2025","Ali, Auwal Shehu; Zaaba, Zarul Fitri; Singh, Manmeet Mahinderjit; Anuar, Nor Badrul; Shariff, Mohd Ridzuan Bin M.","Advancing cybersecurity in ASEAN: current trends, emerging challenges, and opportunities for enhanced resilience","International Journal of Information Security","","1615-5270","10.1007/s10207-025-01111-2","https://link-springer-com.crai.referencistas.com/article/10.1007/s10207-025-01111-2","Cybersecurity in the ASEAN region has evolved significantly due to technological advancements and operational developments. Understanding the research landscape through bibliometric analysis is essential for developing effective strategies against emerging cybersecurity threats. While previous studies have examined the network and impact of authors, publishers, and articles, only some have explored the intellectual structure and research dynamics specific to ASEAN cybersecurity. This study addresses this gap by mapping the intellectual and conceptual structure of ASEAN cybersecurity research from 2006 to 2023 using bibliometric and network analysis. It identifies key trends, influential contributors, and thematic developments, focusing on authors, publishers, institutions, and nations. Core research keywords and their interconnections are also analysed to reveal prevailing themes and conceptual frameworks. Findings indicate a substantial increase in cybersecurity-related publications, with dominant research areas including AI and machine learning in cybersecurity, privacy and big data management, system threats, and identity verification for users and devices. The study highlights the most productive researchers and influential publications shaping the field. Based on these insights, a conceptual framework is proposed to guide policymakers, researchers, and practitioners in strengthening cybersecurity resilience in the ASEAN region. Additionally, the research outlines potential directions for future investigations, offering a comprehensive foundation for advancing cybersecurity scholarship and practice in the region.","2025-10-01","2025-09-17 06:18:59","2025-09-17 06:18:59","2025-09-17 06:18:59","1-34","","5","24","","Int. J. Inf. Secur.","Advancing cybersecurity in ASEAN","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer Berlin Heidelberg","","C:\Users\Ismenia Guevara\Zotero\storage\G5IGGMGI\Ali et al. - 2025 - Advancing cybersecurity in ASEAN current trends, emerging challenges, and opportunities for enhance.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YI2PITXG","journalArticle","2024","Avci, Cigdem; Tekinerdogan, Bedir; Catal, Cagatay","Design tactics for tailoring transformer architectures to cybersecurity challenges","Cluster Computing","","1573-7543","10.1007/s10586-024-04355-0","https://link-springer-com.crai.referencistas.com/article/10.1007/s10586-024-04355-0","In the rapidly evolving landscape of cyber threats, effective defense strategies are crucial for safeguarding sensitive information and critical systems. Deep learning methods, notably the Transformer architecture, have shown immense potential in addressing cybersecurity challenges. However, customizing, and adapting Transformer architectures for cybersecurity applications presents a challenge, demanding the utilization of effective strategies to achieve optimal performance. This study presents a comprehensive analysis of design tactics employed in tailoring Transformer architectures specifically for cybersecurity problems. Design tactics, defined as strategic solutions to architectural challenges based on well-justified design decisions, are explored in-depth within the context of cybersecurity. By examining the modifications and adaptations made to the original Transformer architecture, this study unveils the design decisions and strategies crucial for successful implementation in diverse cybersecurity domains. The findings emphasize the significance of aligning design tactics with the unique business requirements and quality factors of each specific application domain. This study contributes valuable insights into the utilization of design tactics for customizing Transformer architectures in cybersecurity, paving the way for enhanced defense strategies against the dynamic and evolving nature of cyber threats.","2024-10-01","2025-09-17 06:19:05","2025-09-17 06:19:05","2025-09-17 06:19:05","9587-9613","","7","27","","Cluster Comput","","","","","","","","en","2024 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer US","","C:\Users\Ismenia Guevara\Zotero\storage\AP5HECGL\Avci et al. - 2024 - Design tactics for tailoring transformer architectures to cybersecurity challenges.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUZQX7NN","journalArticle","2025","Figueroa, Victor; Sánchez Crespo, Luis Enrique; Santos-Olmo, Antonio; Rosado, David G.; Fernández-Medina, Eduardo","Building a holistic cybersecurity framework for e-Government based on a systematic analysis of proposals","International Journal of Information Security","","1615-5270","10.1007/s10207-025-01024-0","https://link-springer-com.crai.referencistas.com/article/10.1007/s10207-025-01024-0","The increasing digitisation of Government services poses critical challenges in cybersecurity. Existing security frameworks, despite their proliferation, often fail to effectively integrate interoperability and secure data exchange, nor do they present adaptive risk management, or strategic cybersecurity governance, exposing sensitive information and critical infrastructures to escalating cyber threats. This research addresses this gap by proposing the GAUCHO (Government adaptive unified cybersecurity holistic orchestration) framework, a holistic model that integrates an adaptive risk management methodology based on MARISMA, an interoperability scheme for secure data exchange based on X-Road, and a strategic cybersecurity governance component. The proposal, resulting from a systematic literature review, aims to offer a comprehensive solution for the protection of e-Governments, with a focus on the citizen, sustainability, and regulatory compliance. The GAUCHO framework is presented as a solution with which it seeks to safeguard digital Government environments.","2025-06-01","2025-09-17 06:19:11","2025-09-17 06:19:11","2025-09-17 06:19:11","1-19","","3","24","","Int. J. Inf. Secur.","","","","","","","","en","2025 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer Berlin Heidelberg","","C:\Users\Ismenia Guevara\Zotero\storage\9CXCLFZR\Figueroa et al. - 2025 - Building a holistic cybersecurity framework for e-Government based on a systematic analysis of propo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWLDDBNB","journalArticle","2023","Folino, Gianluigi; Otranto Godano, Carla; Pisani, Francesco Sergio","An ensemble-based framework for user behaviour anomaly detection and classification for cybersecurity","The Journal of Supercomputing","","1573-0484","10.1007/s11227-023-05049-x","https://link-springer-com.crai.referencistas.com/article/10.1007/s11227-023-05049-x","Nowadays, the speed of the user and application logs is so quick that it is almost impossible to analyse them in real time without using high-performance systems and platforms. In cybersecurity, human behaviour is responsible directly or indirectly for the most common attacks (i.e. ransomware and phishing). To monitor user behaviour, it is necessary to process fast user logs coming from different and heterogeneous sources, having part of the data or some entire sources missing. A framework based on the elastic stack (ELK) to process and store log data in real time from different users and applications is proposed for this aim. This system generates an ensemble of models to classify user behaviour and detect anomalies in real time, exploiting the advantages of the ELK-based software architecture and of the Kubernetes platform. In addition, a distributed evolutionary algorithm is used to classify the users by exploiting their digital footprints derived from many data sources. Experiments conducted on two real-life data sets verify the approach’s goodness in detecting anomalies in user behaviour, coping with missing data and lowering the number of false alarms.","2023-07-01","2025-09-17 06:22:23","2025-09-17 06:22:23","2025-09-17 06:22:23","11660-11683","","11","79","","J Supercomput","","","","","","","","en","2023 The Author(s)","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer US","","C:\Users\Ismenia Guevara\Zotero\storage\QKVSA2TU\Folino et al. - 2023 - An ensemble-based framework for user behaviour anomaly detection and classification for cybersecurit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WIQWBUM5","journalArticle","2025","Neto, Euclides Carlos Pinto; Iqbal, Shahrear; Buffett, Scott; Sultana, Madeena; Taylor, Adrian","Deep learning for intrusion detection in emerging technologies: a comprehensive survey and new perspectives","Artificial Intelligence Review","","1573-7462","10.1007/s10462-025-11346-z","https://link-springer-com.crai.referencistas.com/article/10.1007/s10462-025-11346-z","Intrusion Detection Systems (IDS) can help cybersecurity analysts detect malicious activities in computational environments. Recently, Deep Learning (DL) methods in IDS have demonstrated notable performance, revealing new underlying cybersecurity patterns in systems’ operations. Conversely, issues such as low performance in real systems, high false positive rates, and lack of explainability hinder its real-world deployment. In addition, the adoption of many new emerging technologies, such as cloud, edge computing, and the Internet of Things (IoT) introduces new forms of vulnerabilities. Therefore, the improvement of intrusion detection in emerging technologies depends on the clear definitions of challenging security problems and the limitations of existing solutions. The main goal of this research is to conduct a literature review of DL solutions for intrusion detection in emerging technologies to understand the state-of-the-art solutions and their limitations. Specifically, we conduct a comprehensive review of IDS-based automated threat defense methods, with the objective of identifying the landscape of, and opportunities for, incorporating DL methods into IDS. To accomplish this, a thorough review of IDS methods is conducted for multiple platforms and technologies, focusing on the use of common DL techniques. To expand on the study, several widely used IDS datasets are evaluated to assess their ability to train DL models and support researchers in understanding their characteristics and limitations. The analysis of attack vectors in emerging technologies is conducted, enabling an in-depth evaluation of security solutions in the future. Our findings show many clear opportunities for future research, including addressing the gap between solutions for controlled/simulated environments versus real systems, overcoming trustworthiness issues, including lack of explainability, and further exploring operationalization issues such as deployable solutions and continuous detection. Our analysis highlights that the operationalization of DL for intrusion detection in emerging technologies represents a key challenge to be addressed in the next few years.","2025-11-01","2025-09-17 06:22:30","2025-09-17 06:22:30","2025-09-17 06:22:30","1-63","","11","58","","Artif Intell Rev","Deep learning for intrusion detection in emerging technologies","","","","","","","en","2025 Crown","","","","link-springer-com.crai.referencistas.com","","Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer Netherlands","","C:\Users\Ismenia Guevara\Zotero\storage\5ZS9BRHF\Neto et al. - 2025 - Deep learning for intrusion detection in emerging technologies a comprehensive survey and new persp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
