cluster,category,ratio
0,IOT,0.0
0,Big Data (BDT),0.0
0,Cybersecurity,1.0
0,Blockchain,0.0
0,AI,0.0
0,Machine Learning (ML),0.0
0,Intrusion Detection Systems (IDS),0.0
0,Intrusion Prevention System (IPS),0.0
0,Algorithms,0.0
1,IOT,0.0
1,Big Data (BDT),0.0
1,Cybersecurity,1.0
1,Blockchain,0.0
1,AI,0.0
1,Machine Learning (ML),0.0
1,Intrusion Detection Systems (IDS),1.0
1,Intrusion Prevention System (IPS),0.0
1,Algorithms,0.0
2,IOT,1.0
2,Big Data (BDT),0.0
2,Cybersecurity,0.0
2,Blockchain,0.0
2,AI,0.0
2,Machine Learning (ML),0.0
2,Intrusion Detection Systems (IDS),0.0
2,Intrusion Prevention System (IPS),0.0
2,Algorithms,1.0
3,IOT,1.0
3,Big Data (BDT),0.0
3,Cybersecurity,0.0
3,Blockchain,0.0
3,AI,0.0
3,Machine Learning (ML),0.0
3,Intrusion Detection Systems (IDS),0.0
3,Intrusion Prevention System (IPS),0.0
3,Algorithms,0.0
4,IOT,0.0
4,Big Data (BDT),0.0
4,Cybersecurity,0.0
4,Blockchain,0.0
4,AI,0.0
4,Machine Learning (ML),0.0
4,Intrusion Detection Systems (IDS),0.0
4,Intrusion Prevention System (IPS),0.0
4,Algorithms,1.0
5,IOT,1.0
5,Big Data (BDT),0.0
5,Cybersecurity,1.0
5,Blockchain,1.0
5,AI,1.0
5,Machine Learning (ML),1.0
5,Intrusion Detection Systems (IDS),1.0
5,Intrusion Prevention System (IPS),0.0
5,Algorithms,0.0
6,IOT,0.0
6,Big Data (BDT),0.0
6,Cybersecurity,0.0
6,Blockchain,0.0
6,AI,0.0
6,Machine Learning (ML),1.0
6,Intrusion Detection Systems (IDS),1.0
6,Intrusion Prevention System (IPS),0.0
6,Algorithms,1.0
7,IOT,0.3548387096774194
7,Big Data (BDT),0.41935483870967744
7,Cybersecurity,0.7741935483870968
7,Blockchain,0.06451612903225806
7,AI,0.25806451612903225
7,Machine Learning (ML),0.25806451612903225
7,Intrusion Detection Systems (IDS),0.25806451612903225
7,Intrusion Prevention System (IPS),0.03225806451612903
7,Algorithms,0.25806451612903225
8,IOT,0.0
8,Big Data (BDT),0.0
8,Cybersecurity,1.0
8,Blockchain,0.0
8,AI,1.0
8,Machine Learning (ML),0.0
8,Intrusion Detection Systems (IDS),0.0
8,Intrusion Prevention System (IPS),0.0
8,Algorithms,0.0
9,IOT,1.0
9,Big Data (BDT),1.0
9,Cybersecurity,1.0
9,Blockchain,0.0
9,AI,1.0
9,Machine Learning (ML),0.0
9,Intrusion Detection Systems (IDS),0.0
9,Intrusion Prevention System (IPS),0.0
9,Algorithms,0.0
