DEPARTAMENTO,HERIDOS,MUERTOS
ANTIOQUIA,149965,2400
BOGOTA D.C.,58042,2156
VALLE DEL CAUCA,39764,1896
CUNDINAMARCA,8748,1484
SANTANDER,13330,973
META,6406,777
TOLIMA,8545,695
HUILA,3833,650
BOLIVAR,5843,611
CORDOBA,3069,527
ATLANTICO,11079,519
MAGDALENA,2169,494
CAUCA,2277,443
NARINO,3439,433
BOYACA,3394,432
CESAR,943,430
RISARALDA,8799,390
CASANARE,1949,317
NORTE DE SANTANDER,2751,315
QUINDIO,4315,298
CALDAS,6142,285
LA GUAJIRA,462,226
CAQUETA,767,169
SUCRE,541,155
PUTUMAYO,278,119
ARAUCA,321,113
GUAVIARE,218,46
CHOCO,374,41
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA",248,33
GUAINIA,63,4
VICHADA,2,0
