ANIO,MES,count
2022,1,8292
2022,2,8846
2022,3,10244
2022,4,9310
2022,5,9990
2022,6,8832
2022,7,9822
2022,8,9974
2022,9,11383
2022,10,9586
2022,11,8862
2022,12,9309
2023,1,8799
2023,2,8741
2023,3,9243
2023,4,10134
2023,5,10797
2023,6,9312
2023,7,9130
2023,8,8943
2023,9,9316
2023,10,9196
2023,11,8545
2023,12,9417
2024,1,8312
2024,2,8390
2024,3,9257
2024,4,8545
2024,5,8639
2024,6,7908
2024,7,28611
2024,8,9382
2024,9,8811
2024,10,7896
2024,11,5933
2024,12,6478
2025,1,5280
2025,2,4777
2025,3,4162
2025,4,3363
2025,5,2546
2025,6,1194
