tool,metric,time_s
pandas,load,0.397430
pandas,preprocess,0.142095
pandas,total_por_departamento,0.003396
pandas,heridos_muertos_por_departamento,0.005548
pandas,top_por_tipo_vehiculo,0.002326
pandas,tendencias_mensuales,0.017722
pandas,accidentes_por_hora_dia,0.011470
pyspark,load,3.559160
pyspark,preprocess,3.648204
pyspark,total_por_departamento,1.123784
pyspark,heridos_muertos_por_departamento,0.705167
pyspark,top_por_tipo_vehiculo,0.649685
pyspark,tendencias_mensuales,0.842286
pyspark,accidentes_por_hora_dia,0.619258
